resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.rt,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,fbclid,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3318,0,15,15,41,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.463,0,16,16,22,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3136,0,17,17,2,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.4038,0,18,18,32,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3144,0,19,19,26,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,1,,0,20,20,9,1,W,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.4387,0,21,21,13,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.4216,0,22,22,0,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.4164,0,23,23,6,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.4823,0,24,24,37,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3685,0,25,25,25,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3808,0,26,26,17,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3193,0,27,27,46,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3543,0,28,28,33,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3791,0,29,29,1,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3014,0,30,30,23,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.35,0,31,31,45,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,1,,0,32,32,49,1,E,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3815,0,33,33,36,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3516,0,34,34,20,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3059,0,35,35,38,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.2686,0,36,36,31,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.2994,0,37,37,12,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,0,0.3015,0,38,38,19,1,K,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.366,0,39,39,47,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3786,0,40,40,18,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3045,0,41,41,30,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.3197,0,42,42,8,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,,1,,0,43,43,44,1,F,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wro80,001,,2023-11-23_07h20.57.420,Trial go no go,2020.2.10,MacIntel,60,IwAR1fS3tZKA3RwtQe1FlqkxzekCK1L3gK-PC1s8LAXsxo2q95rTWDveSV9NE,,,space,1,0.2849,0,44,44,28,1,X,space,,,,,,,,,,,,,,
