resp_Welcome.keys,resp_Welcome.rt,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_trial_Prac1.keys,resp_trial_Prac1.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,stimulus_prac1,corrAns_prac1,participant,session,indywidualny kod,date,expName,psychopyVersion,OS,frameRate,fbclid,resp_trial_Prac1.rt,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test1trial.ran,stimulus_test1,corrAns_test1,resp_Instr_Test2.keys,resp_Instr_Test2.rt,key_resp_Test2.keys,key_resp_Test2.corr,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,test2trial.ran,stimulus_test2,corrAns_test2,key_resp_Test2.rt,resp_theEnd.keys,resp_theEnd.rt
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.4458,0,12,12,36,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.2806,0,13,13,18,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.2899,0,14,14,17,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.2884,0,15,15,6,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,0,0.2858,0,16,16,44,1,F,none,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3307,0,17,17,33,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3249,0,18,18,16,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.3369,0,19,19,27,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,1,0.2997,0,20,20,11,1,X,space,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,wro73,001,,2023-11-09_08h39.43.565,Trial go no go,2020.2.10,MacIntel,60,IwAR0CH4BeV3CdePqQ01FuYgdznempy-L1P1roCr9QghNFcAZrNjVRaMw7T_E,,,,space,0,0.2958,0,21,21,19,1,K,none,,,,,,,,,,,,,,
