stimulus_prac1,corrAns_prac1,stimulus_test1,corrAns_test1,stimulus_test2,corrAns_test2,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,test1trial.thisRepN,test1trial.thisTrialN,test1trial.thisN,test1trial.thisIndex,test2trial.thisRepN,test2trial.thisTrialN,test2trial.thisN,test2trial.thisIndex,image_welcome.started,image_welcome.stopped,resp_Welcome.keys,resp_Welcome.rt,resp_Welcome.started,resp_Welcome.stopped,image_Instr_Intro.started,image_Instr_Intro.stopped,resp_Instr_Intro.keys,resp_Instr_Intro.rt,resp_Instr_Intro.started,resp_Instr_Intro.stopped,image_Instr_Prac1.started,image_Instr_Prac1.stopped,resp_Instr_Prac1.keys,resp_Instr_Prac1.rt,resp_Instr_Prac1.started,resp_Instr_Prac1.stopped,text_trial_Prac1.started,text_trial_Prac1.stopped,resp_trial_Prac1.keys,resp_trial_Prac1.corr,resp_trial_Prac1.started,resp_trial_Prac1.stopped,text_Feedback_Prac1.started,text_Feedback_Prac1.stopped,resp_trial_Prac1.rt,image_Instr_Test1.started,image_Instr_Test1.stopped,resp_Instr_Test1.keys,resp_Instr_Test1.rt,resp_Instr_Test1.started,resp_Instr_Test1.stopped,text_trial_Test1.started,text_trial_Test1.stopped,resp_trial_Test1.keys,resp_trial_Test1.corr,resp_trial_Test1.rt,resp_trial_Test1.started,resp_trial_Test1.stopped,image_Instr_Test2.started,image_Instr_Test2.stopped,resp_Instr_Test2.keys,resp_Instr_Test2.rt,resp_Instr_Test2.started,resp_Instr_Test2.stopped,text_trial_Test2.started,text_trial_Test2.stopped,key_resp_Test2.keys,key_resp_Test2.corr,key_resp_Test2.rt,key_resp_Test2.started,key_resp_Test2.stopped,image_theEnd.started,image_theEnd.stopped,resp_theEnd.keys,resp_theEnd.rt,resp_theEnd.started,resp_theEnd.stopped,participant,session,indywidualny kod,date,expName,psychopyVersion,frameRate,
,,X,space,,,,,,,0,33,33,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.3504599998705,144.65010849991813,space,1,0.34206029959023,144.3504599998705,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,34,34,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.34948810003698,145.6490632998757,space,1,0.2966918000020087,145.34948810003698,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,35,35,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.34850519988686,146.6481284997426,space,1,0.3168427003547549,146.34850519988686,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,H,none,,,,,,,0,36,36,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.3537045000121,147.6637496999465,None,1,,147.3537045000121,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,37,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.34650769969448,148.6459276000969,space,1,0.4140796000137925,148.34650769969448,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,38,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.34538909979165,149.64523059967905,space,1,0.30763049982488155,149.34538909979165,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,T,none,,,,,,,0,39,39,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.41603819979355,150.72723319986835,None,1,,150.41603819979355,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,N,none,,,,,,,0,40,40,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.34821560001,151.65973869990557,space,0,0.3219266999512911,151.34821560001,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,41,41,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.3425177000463,152.64217850007117,space,1,0.34021509997546673,152.3425177000463,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,F,none,,,,,,,0,42,42,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.34728420013562,153.65792009979486,None,1,,153.34728420013562,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,43,43,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.34054079977795,154.64027839992195,space,1,0.30089589999988675,154.34054079977795,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,M,none,,,,,,,0,44,44,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.35850470000878,155.6725304001011,None,1,,155.35850470000878,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,45,45,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.3547366997227,156.6544077997096,space,1,0.30791279999539256,156.3547366997227,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,46,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.35377189982682,157.65345040010288,space,1,0.3541988003998995,157.35377189982682,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,47,47,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.35273979976773,158.65280439984053,space,1,0.32750899996608496,158.35273979976773,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,48,48,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.3521163999103,159.65196610009298,space,1,0.3016261998564005,159.3521163999103,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,X,space,,,,,,,0,49,49,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.3513549999334,160.65096609992906,space,1,0.30596920009702444,160.3513549999334,None,,,,,,,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.83679369976744,None,z,22.969163300003856,161.3498327997513,None,,,,,,,,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,X,none,,,,,,,,,0,0,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.36173269990832,184.67686219979078,space,0,0.7050560000352561,184.36173269990832,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,X,none,,,,,,,,,0,1,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.3595011997968,185.65951329981908,None,1,,185.3595011997968,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,K,space,,,,,,,,,0,2,2,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.3586721001193,186.6586567000486,space,1,0.35763049963861704,186.3586721001193,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,M,space,,,,,,,,,0,3,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.35800440004095,187.65772949997336,space,1,0.43011860037222505,187.35800440004095,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,V,space,,,,,,,,,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.356976499781,188.6564162997529,space,1,0.36059929989278316,188.356976499781,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
,,,,E,space,,,,,,,,,0,5,5,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.35590930003673,189.65534379985183,space,1,0.36284760013222694,189.35590930003673,None,,,,,,,,001,,2023_Jul_10_0914,Trial go no go,2020.2.10,60.05843687055535,
